Id|CompanyID|SleeveName|Width|Height|BGGName
14|||||[b][BGCOLOR=#A16C38]Non-Glare Matte (AT-10428, 50/pack)[/BGCOLOR][/b] - (79 x 120mm)
15|||||Arcane Tinmen sleeve size: [b][BGCOLOR=#F39100]Square - Orange: Clear Gloss (AT-10409, 100/pack)[/BGCOLOR][/b]
16|||||[b][BGCOLOR=#F39100]Non-Glare Matte (AT-10429, 50/pack)[/BGCOLOR][/b] - (70 x 70mm)
17|||||Arcane Tinmen sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#00733A]Tarot - Dark Green: Clear Gloss (AT-10410, 100/pack)[/BGCOLOR][/COLOR][/b]
18|||||[b][COLOR=#FFFFFF][BGCOLOR=#00733A]Non-Glare Matte (AT-10430, 50/pack)[/BGCOLOR][/COLOR][/b] - (70 x 120mm)
19|||||Artipia sleeve size: [b]61x93: Standard (S61X93SLV, 100/pack)[/b]
20|||||[b]Premium (P61X93SLV, 50/pack)[/b] - (61 x 93mm)
21|||||Artipia sleeve size: [b]49.5x69.5: Standard (S45.5X69.5SLV, 100/pack)[/b]
22|||||[b]Premium (P45.5X69.5SLV, 50/pack)[/b] - (45.5 x 69.5mm)
23|||||Artipia sleeve size: [b]72x72: Standard (S72X72SLV, 100/pack)[/b]
24|||||[b]Premium (P72X72SLV, 50/pack)[/b] - (72 x 72mm)
25|||||Artipia sleeve size: [b]82x82: Standard (S82X82SLV, 100/pack)[/b]
26|||||- ([b]Premium: (P82X82SLV, 50/pack)[/b] - 82 x 82mm)
27|||||Artipia sleeve size: [b]82x122: Standard (S82X122SLV, 100/pack)[/b]
28|||||[b]Premium (P80X120SLV, 50/pack)[/b] - (82 x 122mm)
29|||||Artipia sleeve size: [b]67x102: Standard (S67X102SLV, 100/pack)[/b]
30|||||[b]Premium (P67X102SLV, 50/pack)[/b] - (67 x 102mm)
31|||||Awaken Realms sleeve size: [b]63.5x88 Standard (63.5x88, 50/pack)[/b] - (63.5 x 88mm)
32|||||Awaken Realms sleeve size: [b]45x68 Small (45x68, 50/pack)[/b] - (45 x 68mm)
33|||||Awaken Realms sleeve size: [b]80x120 Oversized (80x120, 50/pack)[/b] - (80 x 120mm)
34|||||Awaken Realms sleeve size: [b]100x100 Oversized Square (100x100, 50/pack)[/b] - (100 x 100mm)
35|||||BCW sleeve size: [b][BGCOLOR=#DA190A]Deck Guard - Clear - Red (1-DG-CLE, 50/pack)[/BGCOLOR][/b]
36|||||BCW sleeve size: [b][BGCOLOR=#D7D415]Board Game Sleeve - 41 x 63mm - Yellow (1-BG-41X63, 50/pack)[/BGCOLOR][/b]
37|||||BCW sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#D43901]Board Game Sleeve - 43 x 65mm - Orange (1-BG-43X65, 50/pack)[/BGCOLOR][/COLOR][/b]
38|||||BCW sleeve size: [b][BGCOLOR=#D22515]Board Game Sleeve - 45 x 68mm - Red (1-BG-45X68, 50/pack)[/BGCOLOR][/b]
39|||||BCW sleeve size: [b][BGCOLOR=#689EF4]Board Game Sleeve - 56 x 87mm - Blue (1-BG-56X87, 50/pack)[/BGCOLOR][/b]
40|||||[b]Max Protection Sleeve - 90 x 59mm (MP-7050B 9059, 100/pack)[/b]
41|||||BCW sleeve size: [b][BGCOLOR=#13AA7F]Board Game Sleeve - 58 x 89mm - Green (1-BG-58X89, 50/pack)[/BGCOLOR][/b]
42|||||BCW sleeve size: [b][BGCOLOR=#AB3EBF]Board Game Sleeve - 59 x 92mm - Purple (1-BG-59X92, 50/pack)[/BGCOLOR][/b]
43|||||[b]Max Protection Sleeve - 93 x 62mm (MP-7050B 9362, 100/pack)[/b]
44|||||BCW sleeve size: [b][BGCOLOR=#F74D02]Board Game Sleeve - 70 x 120mm - Orange (1-BG-70X120, 50/pack)[/BGCOLOR][/b]
45|||||BCW sleeve size: [b][BGCOLOR=#FF5200]Regular Inner Sleeve - Orange (1-SSLV-I, 100/pack)[/BGCOLOR][/b]
46|||||BCW sleeve size: [b]4x6 Photo Sleeve (1-4X6SLV, 100/pack)[/b]
47|||||BCW sleeve size: [b]5x7 Photo Sleeve - 5-1/8 x 7-1/8" (1-5X7SLV, 100/pack)[/b]
48|||||BCW sleeve size: [b]5-1/8 x 6" Resealable CD Bag (1-BAG-CD-R, 100/pack)[/b]
49|||||BCW sleeve size: [b]Postcard Sleeve - 3-11/16 x 5-3/4" (1-PCSLV, 100/pack)[/b] - (93.5 x 146mm)
50|||||BCW sleeve size: [b]Continental Postcard Sleeve - 4-3/8 x 6-1/4" (1-CPCSLV, 100/pack)[/b]
51|||||BCW sleeve size: [b]European First Day Postcard Sleeve - 5-1/8 x 7-13/16" (1-EFDCSLV, 100/pack)[/b] - (130.175 x 179.388mm)
52|||||BCW sleeve size: [b]6x9 Photo Sleeve - 6 x 9" (1-6X9SLV, 100/pack)[/b]
53|||||BCW sleeve size: [b]8x10 Photo Sleeve - 8-1/8 x 10-1/8" (1-8X10SLV, 100/pack)[/b]
54|||||BCW sleeve size: [b]8-1/2x11 Document Sleeve - 8-1/2 x 11" (1-8.5X11SLV, 100/pack)[/b]
55|||||BCW sleeve size: [b]Resealable Bag for  Booklet Card - 8-1/4 x 4" (1-BAG-BCH-R, 100/pack)[/b]
56|||||Blackfire sleeve size: [b][BGCOLOR=#4DAC31]Premium Outer Sleeve - Light Green (03129, 50/pack)[/BGCOLOR][/b] - (69 x 94mm)
57|||||Blackfire sleeve size: [b][BGCOLOR=#C63D37]Medium - Red (40005, 100/pack)[/BGCOLOR][/b] - (59 x 92mm)
58|||||Blackfire sleeve size: [b][BGCOLOR=#009BC9]Mini - Light Blue (40006, 100/pack)[/BGCOLOR][/b] - (44 x 67mm)
59|||||Blackfire sleeve size: [b][BGCOLOR=#FEBF00]USA - Gold (40007, 100/pack)[/BGCOLOR][/b] - (58 x 88mm)
60|||||Blackfire sleeve size: [b][BGCOLOR=#D4D800]Small - Lime Green (40009, 100/pack)[/BGCOLOR][/b] - (46 x 70mm)
61|||||Blackfire sleeve size: [b][BGCOLOR=#F8E624]Square - Yellow (40010, 100/pack)[/BGCOLOR][/b] - (72 x 73mm)
62|||||Blackfire sleeve size: [b][BGCOLOR=#FD8628]Large - Orange (40004, 100/pack)[/BGCOLOR][/b] - (62 x 96mm)
63|||||Blackfire sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#012060]Extra Large - Dark Blue (40002, 100/pack)[/BGCOLOR][/COLOR][/b] - (67 x 102mm)
64|||||Blackfire sleeve size: [b][BGCOLOR=#198731]Oversize - Dark Green (40008, 100/pack)[/BGCOLOR][/b] - (82 x 122mm)
65|||||Citadel Collectibles sleeve size: [b][BGCOLOR=#EB4422]American Mini - Orange (GPLA-561, 100/pack)[/BGCOLOR][/b] - (43 x 65mm)
66|||||Citadel Collectibles sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#694642]European Mini - Brown (GPLA-562, 100/pack)[/BGCOLOR][/COLOR][/b] - (47 x 70mm)
67|||||Citadel Collectibles sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#1C486F]Board Game - Blue (GPLA-563, 100/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 89mm)
68|||||Citadel Collectibles sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#1C486F]Board Game - Blue (GPLA-563, 150/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 89mm)
69|||||[b][COLOR=#FFFFFF][BGCOLOR=#01362E]Perfect-Fit - Green (GPLA-552, 100/pack)[/BGCOLOR][/COLOR][/b] - (64 x 89mm)
70|||||Docsmagic sleeve size: [b][BGCOLOR=#CFC525]41x63 Mini American - Yellow: Standard (DMS04, 100/pack)[/BGCOLOR][/b]
71|||||[b][BGCOLOR=#CFC525]Premium (DMS14, 50/pack)[/BGCOLOR][/b] - (43 x 65mm)
72|||||Docsmagic sleeve size: [b][BGCOLOR=#C32421]44x68 Mini European - Red: Standard (DMS06, 100/pack)[/BGCOLOR][/b]
73|||||[b][BGCOLOR=#C32421]Premium (DMS16, 50/pack)[/BGCOLOR][/b] - (47 x 70mm)
74|||||Docsmagic sleeve size: [b][BGCOLOR=#A90DAC]59x86 Small Size - Purple: Standard (DMS02, 100/pack)[/BGCOLOR][/b]
75|||||[b][BGCOLOR=#A90DAC]Premium (DMS12, 60/pack)[/BGCOLOR][/b] - (62 x 89mm)
76|||||Docsmagic sleeve size: [b][BGCOLOR=#52275D]59x86 Resealable - Purple (DMS70, 100/pack)[/BGCOLOR][/b] - (62 x 89mm)
77|||||Docsmagic sleeve size: [b][BGCOLOR=#4ED5E9]56x87 Small Standard American - Light Blue: Standard (DMS21, 100/pack)[/BGCOLOR][/b]
78|||||[b][BGCOLOR=#4ED5E9]Premium (DMS11, 50/pack)[/BGCOLOR][/b] - (58 x 89mm)
79|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#3E7220]57x89 Standard American - Green: Standard (DMS05, 100/pack)[/BGCOLOR][/COLOR][/b]
80|||||[b][COLOR=#FFFFFF][BGCOLOR=#3E7220]Premium (DMS15, 50/pack)[/BGCOLOR][/COLOR][/b] - (59 x 91mm)
81|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#2D4375]59x92 Standard European - Blue: Standard (DMS07, 100/pack)[/BGCOLOR][/COLOR][/b]
82|||||[b][COLOR=#FFFFFF][BGCOLOR=#2D4375]Premium (DMS17, 50/pack)[/BGCOLOR][/COLOR][/b] - (61 x 94mm)
83|||||Docsmagic sleeve size: [b][BGCOLOR=#C7C0B6]63.5x88 Standard Card - Light Gray: Standard (DMS03, 100/pack)[/BGCOLOR][/b]
84|||||[b][BGCOLOR=#C7C0B6]Premium (DMS100, 50/pack)[/BGCOLOR][/b] - (66 x 91mm)
85|||||Docsmagic sleeve size: [b][BGCOLOR=#FFFFFF]64x89 Resealable - White (DMS60, 100/pack)[/BGCOLOR][/b] - (64 x 89mm)
86|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#4E635A]64x89 Perfect Protection - Sage Green (DMS10, 100/pack)[/BGCOLOR][/COLOR][/b] - (64 x 89mm)
87|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#1D2D23]50x75 Sails of Glory - Dark Green: Premium (DMS42, 50/pack)[/BGCOLOR][/COLOR][/b] - (52 x 77mm)
88|||||Docsmagic sleeve size: [b][BGCOLOR=#AF8C30]65x100 Magnum - Tan: Standard (DMS08, 100/pack)[/BGCOLOR][/b]
89|||||[b][BGCOLOR=#AF8C30]Premium (DMS18, 50/pack)[/BGCOLOR][/b] - (67 x 102mm)
90|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#5E5858]70x110 Scythe - Gray: Standard (DMS44, 100/pack)[/BGCOLOR][/COLOR][/b]
91|||||[b][COLOR=#FFFFFF][BGCOLOR=#5E5858]Premium (DMS43, 50/pack)[/BGCOLOR][/COLOR][/b] - (72 x 112mm)
92|||||Docsmagic sleeve size: [b][BGCOLOR=#C86E22]70x120 Tarot - Orange: Standard (DMS09, 100/pack)[/BGCOLOR][/b]
93|||||[b][BGCOLOR=#C86E22]Premium (DMS19, 50/pack)[/BGCOLOR][/b] - (72 x 122mm)
94|||||Docsmagic sleeve size: [b][BGCOLOR=#FA4CF9]80x120 Magnum - Pink: Standard (DMS46, 100/pack)[/BGCOLOR][/b]
95|||||[b][BGCOLOR=#FA4CF9]Premium (DMS45, 50/pack)[/BGCOLOR][/b] - (82 x 122mm)
96|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#A55323]61x112 French Tarot - Brown: Standard (DMS47, 100/pack)[/BGCOLOR][/COLOR][/b]
97|||||[b][COLOR=#FFFFFF][BGCOLOR=#A55323]Premium (DMS49, 50/pack)[/BGCOLOR][/COLOR][/b] - (63 x 114mm)
98|||||Docsmagic sleeve size: [b][BGCOLOR=#DCA1E5]50x50 Square Size - Light Pink: Premium (DMS95, 50/pack)[/BGCOLOR][/COLOR][/b] - (52 x 52mm)
99|||||Docsmagic sleeve size: [b][BGCOLOR=#DCA1E5]50x50 Square Size - Light Pink: Premium (nDMS95, 50/pack)[/BGCOLOR][/COLOR][/b] - (53 x 53mm)
100|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#814978]70x70 Square Size - Light Purple: Standard (DMS91, 100/pack)[/BGCOLOR][/COLOR][/b]
101|||||[b][COLOR=#FFFFFF][BGCOLOR=#814978]Premium (DMS92, 100/pack)[/BGCOLOR][/COLOR][/b] - (72 x 72mm)
102|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#512354]80x80 Square Size - Purple: Standard (DMS93, 100/pack)[/BGCOLOR][/COLOR][/b]
103|||||[b][COLOR=#FFFFFF][BGCOLOR=#512354]Premium (DMS94, 50/pack)[/BGCOLOR][/COLOR][/b] - (82 x 82mm)
104|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#000000]63.5x88 Mat Black - Black/White (DMS61, 50/pack)[/BGCOLOR][/COLOR][/b] - (66 x 91mm)
105|||||Docsmagic sleeve size: [b][COLOR=#9900FF][BGCOLOR=#000000]59x86 Mat Black - Black/Purple (DMS71, 60/pack)[/BGCOLOR][/COLOR][/b] - (62 x 89mm)
106|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#000000]67x92 Standard Soft - Black (DMS01, 100/pack)[/BGCOLOR][/COLOR][/b] - (67 x 92mm)
107|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#B51110]4x6 Soft - Red: Standard (DMS41, 100/pack)[/BGCOLOR][/COLOR][/b] - (105 x 155mm)
108|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#652C1B]89x146 Kingdom Death  - Brown (DMS96, 50/pack)[/BGCOLOR][/COLOR][/b] - (91 x 148mm)
109|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#3E160C]101x203 Kingdom Death - Dark Brown (DMS97, 50/pack)[/BGCOLOR][/COLOR][/b] - (103 x 205mm)
110|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#3E160C]101x203 Kingdom Death - Dark Brown (nDMS97, 50/pack)[/BGCOLOR][/COLOR][/b] - (104 x 205mm)
111|||||Docsmagic sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#000000]3"x4" Premium Toploader - Black (DMS51, 25/pack)[/BGCOLOR][/COLOR][/b] - (76 x 102mm)
112|||||Dragon Shield sleeve size: [b]Standard Size (AT-10201, 50/pack; AT-10001, 100/pack)[/b] - (67 x 91mm)
113|||||Dragon Shield sleeve size: [b]Japanese Clear ‘Azokuang' (AT-10601, 60/pack)[/b] - (59 x 86mm)
114|||||Drawlab sleeve size: [b]Clear Card Sleeve 110mm x 80mm (50/pack)[/b] - (80 x 110mm)
115|||||Fantasy Flight sleeve size: [b][BGCOLOR=#FFF100]Mini American - Yellow (FFS01, 50/pack)[/BGCOLOR][/b] - (1-5/8" x 2-1/2" - 41 x 63mm)
116|||||Fantasy Flight sleeve size: [b][BGCOLOR=#C72D00]Mini European - Red (FFS02, 50/pack)[/BGCOLOR][/b] - (1-11/16" x 2-5/8" - 44 x 68mm)
117|||||Fantasy Flight sleeve size: [b][BGCOLOR=#74C73E]Standard American - Green (FFS03, 50/pack)[/BGCOLOR][/b] - (2-1/4" x 3-1/2" - 57 x 89mm)
118|||||Fantasy Flight sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#7540A6]Standard European - Purple (FFS04, 50/pack)[/BGCOLOR][/COLOR][/b] - (2-5/16" x 3-9/16" - 59 x 92mm)
119|||||Fantasy Flight sleeve size: [b][BGCOLOR=#C6C6BE]Standard Card Game - Gray (FFS05, 50/pack)[/BGCOLOR][/b] - (2-1/2" x 3-1/2" - 63.5 x 88mm)
120|||||Fantasy Flight sleeve size: [b][BGCOLOR=#0098EA]Square - Light Blue (FFS65, 50/pack)[/BGCOLOR][/b] - (2-11/16" x 2-11/16" - 70 x 70mm)
121|||||Fantasy Flight sleeve size: [b][BGCOLOR=#FF8200]Tarot - Orange (FFS66, 50/pack)[/BGCOLOR][/b] - (2-3/4" x 4-3/4" - 70 x 120mm)
122|||||Game Plus sleeve size: [b]Mini American (GPS96697, 50/pack)[/b] - (1-5/8" x 2-1/2" - 41 x 63mm)
123|||||Game Plus sleeve size: [b]Mini European (GPS96698, 50/pack)[/b] - (1-11/16" x 2-5/8" - 44 x 68mm)
124|||||Game Plus sleeve size: [b]Standard American (GPS96699, 50/pack)[/b] - (2-1/4" x 3-1/2" - 57 x 89mm)
125|||||Game Plus sleeve size: [b]Standard European (GPS96703, 50/pack)[/b] - (2-5/16" x 3-9/16" - 59 x 92mm)
126|||||Game Plus sleeve size: [b]Standard Card Game (GPS96681, 50/pack)[/b] - (2-1/2" x 3-1/2" - 63.5 x 88mm)
127|||||Game Plus sleeve size: [b]Square (GPS96701, 50/pack)[/b] - (2-11/16" x 2-11/16" - 70 x 70mm)
128|||||Game Plus sleeve size: [b]Tarot (GPS96700, 50/pack)[/b] - (2-3/4" x 4-3/4" - 70 x 120mm)
129|||||Game Plus sleeve size: [b]Extra Large (GPS96702, 50/pack)[/b] - (3-1/10" x 4-7/10" - 80 x 120mm)
130|||||Giochix sleeve size: [b][BGCOLOR=#FFF399]Mini USA - Yellow: Standard (GX080, 100/pack)[/BGCOLOR][/b]
131|||||[b][BGCOLOR=#FFF399]Premium (GX080P, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
132|||||Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#BB2125]Mini Chimera - Red: Standard (GX081, 100/pack)[/BGCOLOR][/COLOR][/b]
133|||||[b][COLOR=#FFFFFF][BGCOLOR=#BB2125]Premium (GX081P, 50/pack)[/BGCOLOR][/COLOR][/b] - (43 x 65mm)
134|||||Giochix sleeve size: [b][BGCOLOR=#71B4BC]Mini Euro - Light Blue: Standard (GX082, 100/pack)[/BGCOLOR][/b]
135|||||[b][BGCOLOR=#71B4BC]Premium (GX082P, 50/pack)[/BGCOLOR][/b] - (45 x 68mm)
136|||||Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#77559C]Standard American - Purple: Standard (GX083, 100/pack)[/BGCOLOR][/COLOR][/b]
137|||||[b][COLOR=#FFFFFF][BGCOLOR=#77559C]Premium (GX083P, 50/pack)[/BGCOLOR][/COLOR][/b] - (56 x 87mm)
138|||||Giochix sleeve size: [b][BGCOLOR=#AB6232]Standard Chimera - Brown: Standard (GX084, 100/pack)[/BGCOLOR][/b]
139|||||[b][BGCOLOR=#AB6232]Premium (GX084P, 50/pack)[/BGCOLOR][/b] - (58 x 89mm)
140|||||Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#456837]Standard Board Game/CCG - Green: Standard (GX085, 100/pack)[/BGCOLOR][/COLOR][/b]
141|||||[b][COLOR=#FFFFFF][BGCOLOR=#456837]Premium (GX085P, 50/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 88mm)
142|||||Giochix sleeve size: [b][BGCOLOR=#93982F]Tarot - Olive Green: Standard (GX087, 100/pack)[/BGCOLOR][/b]
143|||||[b][BGCOLOR=#93982F]Premium (GX087P, 50/pack)[/BGCOLOR][/b] - (70 x 120mm)
144|||||Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#0073B4]Standard Euro - Blue: Standard (GX088, 100/pack)[/BGCOLOR][/COLOR][/b]
145|||||[b][COLOR=#FFFFFF][BGCOLOR=#0073B4]Premium (GX088P, 50/pack)[/BGCOLOR][/COLOR][/b] - (59 x 92mm)
146|||||Giochix sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#897C4D]Dixit - Olive Green: Standard (GX089, 100/pack)[/BGCOLOR][/COLOR][/b]
147|||||[b][COLOR=#FFFFFF][BGCOLOR=#897C4D]Premium (GX089P, 50/pack)[/BGCOLOR][/COLOR][/b] - (80 x 120mm)
148|||||Giochix sleeve size: [b][BGCOLOR=#FFFFFF]Small Square - White: Standard (GX085, 100/pack)[/BGCOLOR][/b] - (60 x 60mm)
149|||||Kaissa sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#77787C]Card Game - Gray: Standard (KA111366, 100/pack)[/BGCOLOR][/COLOR][/b]
150|||||[b][COLOR=#FFFFFF][BGCOLOR=#77787C]Premium (KA112356, 50/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 88mm)
151|||||Kaissa sleeve size: [b][BGCOLOR=#01AC4E]Standard USA - Green: Standard (KA111342, 100/pack)[/BGCOLOR][/b]
152|||||[b][BGCOLOR=#01AC4E]Premium (KA112325, 50/pack)[/BGCOLOR][/b] - (56 x 87mm)
153|||||Kaissa sleeve size: [b][BGCOLOR=#16C2F4]Small Card - Light Blue: Standard (KA112233, 100/pack)[/BGCOLOR][/b]
154|||||[b][BGCOLOR=#16C2F4]Premium (KA112363, 50/pack)[/BGCOLOR][/b] - (59 x 86mm)
155|||||Kaissa sleeve size: [b][BGCOLOR=#FFFFFF]Mini USA - White: Standard (KA111328, 100/pack)[/BGCOLOR][/b]
156|||||[b][BGCOLOR=#FFFFFF]Premium (KA112301, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
157|||||Kaissa sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#7651A1]Standard Euro - Purple: Standard (KA111359, 100/pack)[/BGCOLOR][/COLOR][/b]
158|||||[b][COLOR=#FFFFFF][BGCOLOR=#7651A1]Premium (KA112332, 50/pack)[/BGCOLOR][/COLOR][/b] - (59 x 92mm)
159|||||Kaissa sleeve size: [b][BGCOLOR=#DA2127]Mini Euro - Red: Standard (KA111335, 100/pack)[/BGCOLOR][/b]
160|||||[b][BGCOLOR=#DA2127]Premium (KA112318, 50/pack)[/BGCOLOR][/b] - (45 x 68mm)
161|||||Kaissa sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#A45024]Large - Copper: Standard (KA111373, 100/pack)[/BGCOLOR][/COLOR][/b]
162|||||[b][COLOR=#FFFFFF][BGCOLOR=#A45024]Premium (KA112370, 50/pack)[/BGCOLOR][/COLOR][/b] - (65 x 100mm)
163|||||Kaissa sleeve size: [b][BGCOLOR=#FFD203]Oversized - Gold: Standard (KA111380, 100/pack)[/BGCOLOR][/b]
164|||||[b][BGCOLOR=#FFD203]Premium (KA112387, 50/pack)[/BGCOLOR][/b] - (80 x 120mm)
165|||||Kaissa sleeve size: [b][BGCOLOR=#ED008C]French Tarot - Pink: Standard (KA111557, 100/pack)[/BGCOLOR][/b]
166|||||[b][BGCOLOR=#ED008C]Premium (KA112349, 50/pack)[/BGCOLOR][/b] - (61 x 112mm)
167|||||KMC sleeve size: [b]Standard Size (80/pack)[/b] - (66 x 91mm)
168|||||KMC sleeve size: [b]Perfect Size (100/pack)[/b] - (64 x 89mm)
169|||||KMC sleeve size: [b]Mini Size (50/pack)[/b] - (62 x 89mm)
170|||||LaTCG sleeve size: [b]Clear Pokemon/Magic The Gathering Soft Card Sleeves (100/pack)[/b] - (64.5 x 92mm)
171|||||LaTCG sleeve size: [b]Clear Pokemon/MTG Perfect Size Card Sleeves (100/pack)[/b] - (64.5 x 90mm)
172|||||LaTCG sleeve size: [b]YuGiOh/Vanguard Card Sleeves (100/pack)[/b] - (61 x 88mm)
173|||||Legion sleeve size: [b][BGCOLOR=#FFE800]Size #1 - Mini American - Yellow (BGSMA1, 50/pack)[/BGCOLOR][/b] - (44 x 67mm)
174|||||Legion sleeve size: [b][BGCOLOR=#F0505F]Size #2 - Mini European - Pink (BGSME2, 50/pack)[/BGCOLOR][/b] - (46 x 72mm)
175|||||Legion sleeve size: [b][BGCOLOR=#B2D234]Size #3 - Standard American - Green (BGSSA3, 50/pack)[/BGCOLOR][/b] - (59 x 93mm)
176|||||Legion sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#90489C]Size #4 - Standard European - Purple (BGSSE4, 50/pack)[/BGCOLOR][/COLOR][/b] - (62 x 96mm)
177|||||Legion sleeve size: [b][BGCOLOR=#939598]Size #5 - Standard Card Game - Gray (BGSCG5, 50/pack)[/BGCOLOR][/b] - (67 x 92mm)
178|||||Legion sleeve size: [b][BGCOLOR=#00AEEF]Size #6 - Square - Light Blue (BGSSQ6, 50/pack)[/BGCOLOR][/b] - (73 x 73mm)
179|||||Legion sleeve size: [b][BGCOLOR=#F89D3E]Size #7 - Tarot - Orange (BGSTA7, 50/pack)[/BGCOLOR][/b] - (73 x 123mm)
180|||||Mage Company sleeve size: [b]Standard Playing Card (MCG 032, 50/pack)[/b] - (66 x 91mm)
181|||||Mage Company sleeve size: [b]Standard American (MCG 057, 50/pack)[/b] - (60 x 92mm)
182|||||Mage Company sleeve size: [b]Mini American (MCG 056, 50/pack)[/b] - (44 x 66mm)
183|||||Mage Company sleeve size: [b]Standard European (MCG 058, 50/pack)[/b] - (62 x 95mm)
184|||||Mage Company sleeve size: [b]Mini European (MCG 024, 50/pack)[/b] - (47 x 71mm)
185|||||Mage Company sleeve size: [b]Mini Square (MCG 031, 50/pack)[/b] - (53 x 53mm)
186|||||Mage Company sleeve size: [b]Big Square (MCG 061, 50/pack)[/b] - (73 x 73mm)
187|||||Mage Company sleeve size: [b]Big (Dixit) (MCG 054, 50/pack)[/b] - (83 x 123mm)
188|||||Mage Company sleeve size: [b]King Square (MCG 093, 50/pack)[/b] - (83 x 83mm)
189|||||Mage Company sleeve size: [b]Ultra Custom: Kingdom Death Events (MCG 059, 50/pack)[/b] - (98 x 153mm)
