Id|CompanyID|SleeveName|Width|Height|BGGName
155|10|Mini USA - White: Standard|41|63|Kaissa sleeve size: [b][BGCOLOR=#FFFFFF]Mini USA - White: Standard (KA111328, 100/pack)[/BGCOLOR][/b]
156|10|Mini USA - White: Premium|41|63|[b][BGCOLOR=#FFFFFF]Premium (KA112301, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
157|10|Standard Euro - Purple: Standard|59|92|Kaissa sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#7651A1]Standard Euro - Purple: Standard (KA111359, 100/pack)[/BGCOLOR][/COLOR][/b]
158|10|Standard Euro - Purple: Premium|59|92|[b][COLOR=#FFFFFF][BGCOLOR=#7651A1]Premium (KA112332, 50/pack)[/BGCOLOR][/COLOR][/b] - (59 x 92mm)
159|10|Mini Euro - Red: Standard|45|68|Kaissa sleeve size: [b][BGCOLOR=#DA2127]Mini Euro - Red: Standard (KA111335, 100/pack)[/BGCOLOR][/b]
160|10|Mini Euro - Red: Premium|45|68|[b][BGCOLOR=#DA2127]Premium (KA112318, 50/pack)[/BGCOLOR][/b] - (45 x 68mm)
161|10|Large - Copper: Standard|65|100|Kaissa sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#A45024]Large - Copper: Standard (KA111373, 100/pack)[/BGCOLOR][/COLOR][/b]
162|10|Large - Copper: Premium|65|100|[b][COLOR=#FFFFFF][BGCOLOR=#A45024]Premium (KA112370, 50/pack)[/BGCOLOR][/COLOR][/b] - (65 x 100mm)
163|10|Oversized - Gold: Standard|80|120|Kaissa sleeve size: [b][BGCOLOR=#FFD203]Oversized - Gold: Standard (KA111380, 100/pack)[/BGCOLOR][/b]
164|10|Oversized - Gold: Premium|80|120|[b][BGCOLOR=#FFD203]Premium (KA112387, 50/pack)[/BGCOLOR][/b] - (80 x 120mm)
165|10|French Tarot - Pink: Standard|61|112|Kaissa sleeve size: [b][BGCOLOR=#ED008C]French Tarot - Pink: Standard (KA111557, 100/pack)[/BGCOLOR][/b]
166|10|French Tarot - Pink: Premium|61|112|[b][BGCOLOR=#ED008C]Premium (KA112349, 50/pack)[/BGCOLOR][/b] - (61 x 112mm)
167|11|Standard|66|91|KMC sleeve size: [b]Standard Size (80/pack)[/b] - (66 x 91mm)
168|11|Perfect|64|89|KMC sleeve size: [b]Perfect Size (100/pack)[/b] - (64 x 89mm)
169|11|Mini|62|89|KMC sleeve size: [b]Mini Size (50/pack)[/b] - (62 x 89mm)
170|12|Clear Pokemon/Magic The Gathering Soft Card Sleeves|64.5|92|LaTCG sleeve size: [b]Clear Pokemon/Magic The Gathering Soft Card Sleeves (100/pack)[/b] - (64.5 x 92mm)
171|12|Clear Pokemon/MTG Perfect Size Card Sleeves|64.5|90|LaTCG sleeve size: [b]Clear Pokemon/MTG Perfect Size Card Sleeves (100/pack)[/b] - (64.5 x 90mm)
172|12|YuGiOh/Vanguard Card Sleeves|44|67|LaTCG sleeve size: [b]YuGiOh/Vanguard Card Sleeves (100/pack)[/b] - (61 x 88mm)
173|13|Mini American - Yellow|44|67|Legion sleeve size: [b][BGCOLOR=#FFE800]Size #1 - Mini American - Yellow (BGSMA1, 50/pack)[/BGCOLOR][/b] - (44 x 67mm)
174|13|Mini European - Pink|46|72|Legion sleeve size: [b][BGCOLOR=#F0505F]Size #2 - Mini European - Pink (BGSME2, 50/pack)[/BGCOLOR][/b] - (46 x 72mm)
175|13|Standard American - Green|59|93|Legion sleeve size: [b][BGCOLOR=#B2D234]Size #3 - Standard American - Green (BGSSA3, 50/pack)[/BGCOLOR][/b] - (59 x 93mm)
176|13|Standard European - Purple|62|96|Legion sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#90489C]Size #4 - Standard European - Purple (BGSSE4, 50/pack)[/BGCOLOR][/COLOR][/b] - (62 x 96mm)
177|13|Standard Card Game - Gray|67|92|Legion sleeve size: [b][BGCOLOR=#939598]Size #5 - Standard Card Game - Gray (BGSCG5, 50/pack)[/BGCOLOR][/b] - (67 x 92mm)
178|13|Square - Light Blue|73|73|Legion sleeve size: [b][BGCOLOR=#00AEEF]Size #6 - Square - Light Blue (BGSSQ6, 50/pack)[/BGCOLOR][/b] - (73 x 73mm)
179|13|Tarot - Orange|73|123|Legion sleeve size: [b][BGCOLOR=#F89D3E]Size #7 - Tarot - Orange (BGSTA7, 50/pack)[/BGCOLOR][/b] - (73 x 123mm)
180|14|Standard Playing Card|66|91|Mage Company sleeve size: [b]Standard Playing Card (MCG 032, 50/pack)[/b] - (66 x 91mm)
181|14|Standard American|60|92|Mage Company sleeve size: [b]Standard American (MCG 057, 50/pack)[/b] - (60 x 92mm)
182|14|Mini American|44|66|Mage Company sleeve size: [b]Mini American (MCG 056, 50/pack)[/b] - (44 x 66mm)
183|14|Standard European|62|95|Mage Company sleeve size: [b]Standard European (MCG 058, 50/pack)[/b] - (62 x 95mm)
184|14|Mini European|47|71|Mage Company sleeve size: [b]Mini European (MCG 024, 50/pack)[/b] - (47 x 71mm)
185|14|Mini Square|53|53|Mage Company sleeve size: [b]Mini Square (MCG 031, 50/pack)[/b] - (53 x 53mm)
186|14|Big Square|73|73|Mage Company sleeve size: [b]Big Square (MCG 061, 50/pack)[/b] - (73 x 73mm)
187|14|Big (Dixit)|83|123|Mage Company sleeve size: [b]Big (Dixit) (MCG 054, 50/pack)[/b] - (83 x 123mm)
188|14|King Square|83|83|Mage Company sleeve size: [b]King Square (MCG 093, 50/pack)[/b] - (83 x 83mm)
189|14|Ultra Custom: Kingdom Death Events|98|153|Mage Company sleeve size: [b]Ultra Custom: Kingdom Death Events (MCG 059, 50/pack)[/b] - (98 x 153mm)
190|14|Giga Custom: Kingdom Death Locations|110|213|Mage Company sleeve size: [b]Giga Custom: Kingdom Death Locations (MCG 060, 50/pack)[/b] - (110 x 213mm)
191|14|Standard Playing Card: Matte Black|66|91|Mage Company sleeve size: [b]Standard Playing Card: Matte Black (MCG 062, 50/pack)[/b] - (66 x 91mm)
192|1|Card Game - Green: Standard|63.5|88|Mayday sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#0E9745]Card Game - Green: Standard (MDG-7041, 100/pack)[/BGCOLOR][/COLOR][/b]
193|1|Card Game - Green: Premium|63.5|88|[b][COLOR=#FFFFFF][BGCOLOR=#0E9745]Premium (MDG-7077, 50/pack)[/BGCOLOR][/COLOR][/b] - (63.5 x 88mm)
194|1|Standard USA Card - Purple: Standard|56|87|Mayday sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#553574]Standard USA Card - Purple: Standard  (MDG-7040, 100/pack)[/BGCOLOR][/COLOR][/b]
195|1|Standard USA Card - Purple: Premium|56|87|[b][COLOR=#FFFFFF][BGCOLOR=#553574]Premium (MDG-7076, 50/pack)[/BGCOLOR][/COLOR][/b] - (56 x 87mm)
196|1|USA Chimera - Orange: Standard|57.5|89|Mayday sleeve size: [b][BGCOLOR=#E98722]USA Chimera - Orange: Standard (MDG-7044, 100/pack)[/BGCOLOR][/b]
197|1|USA Chimera - Orange: Premium|57.5|89|[b][BGCOLOR=#E98722]Premium (MDG-7078, 50/pack)[/BGCOLOR][/b] - (57.5 x 89mm)
198|1|Mini USA - Yellow: Standard|41|63|Mayday sleeve size: [b][BGCOLOR=#F1CC25]Mini USA - Yellow: Standard (MDG-7039, 100/pack)[/BGCOLOR][/b]
199|1|Mini USA - Yellow: Standard|41|63|[b][BGCOLOR=#F1CC25]Premium (MDG-7075, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
200|1|Mini Chimera - Red: Standard|43|65|Mayday sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#BC1E2D]Mini Chimera - Red: Standard (MDG-7045, 100/pack)[/BGCOLOR][/COLOR][/b]
201|1|Mini Chimera - Red: Premium|43|65|[b][COLOR=#FFFFFF][BGCOLOR=#BC1E2D]Premium (MDG-7079, 50/pack)[/BGCOLOR][/COLOR][/b] - (43 x 65mm)
202|1|Euro - Blue: Standard|59|92|Mayday sleeve size: [b][BGCOLOR=#04A2D2]Euro - Blue: Standard (MDG-7028, 100/pack)[/BGCOLOR][/b]
203|1|Euro - Blue: Premium|59|92|[b][BGCOLOR=#04A2D2]Premium (MDG-7029, 50/pack)[/BGCOLOR][/b] - (59 x 92mm)
204|1|Mini Euro - Blue: Standard|45|68|Mayday sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#115C96]Mini Euro - Blue: Standard (MDG-7035, 100/pack)[/BGCOLOR][/COLOR][/b]
205|1|Mini Euro - Blue: Premium|45|68|[b][COLOR=#FFFFFF][BGCOLOR=#115C96]Premium (MDG-7080, 50/pack)[/BGCOLOR][/COLOR][/b] - (45 x 68mm)
206|1|Small Square - Violet: Standard|70|70|Mayday sleeve size: [b][BGCOLOR=#B50493]Small Square - Violet: Standard (MDG-7124, 100/pack)[/BGCOLOR][/b]
207|1|Small Square - Violet: Premium|70|70|[b][BGCOLOR=#B50493]Premium (MDG-7134, 50/pack)[/BGCOLOR][/b] - (70 x 70mm)
208|1|Medium Square - Red: Standard|80|80|Mayday sleeve size: [b][BGCOLOR=#D43549]Medium Square - Red: Standard (MDG-7125, 100/pack)[/BGCOLOR][/b]
209|1|Medium Square - Red: Premium|80|80|[b][BGCOLOR=#D43549]Premium (MDG-7145, 50/pack)[/BGCOLOR][/b] - (80 x 80mm)
210|1|Magnum Copper - Copper: Standard|65|100|Mayday sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#9F5623]Magnum Copper - Copper: Standard (MDG-7102, 100/pack)[/BGCOLOR][/COLOR][/b]
