,,Millimeters,,,,,,,,,
Game Title,# Cards,Width,Length,Type of Sleeve,# Packs,,,,,,
Agricola: CZ-Deck,24,59,92,Euro Size Card Sleeves,1,,,,,,
Agricola: Farmers of the Moor,153,59,92,Euro Size Card Sleeves,2,,,,,,
Agricola: Gamers' Deck,120,59,92,Euro Size Card Sleeves,2,,,,,,
Agricola: NL-Deck,120,59,92,Euro Size Card Sleeves,2,,,,,,
Agricola: The Goodies Expansion,86,59,92,Euro Size Card Sleeves,1,,,,,,
Agricola: The Legen*dairy Forest Deck,24,59,92,Euro Size Card Sleeves,1,,,,,,
Ahead in the Clouds,18,63,88,Card Game (Green),1,,,,,,
Ahead in the Clouds: Stormfront,3,63,88,Card Game (Green),1,,,,,,
Airlines Europe,135,57,89,Chimera (Orange),2,,,,,,
Airships,71,45,68,Mini Euro Sleeves,1,,,,,,
akrotiri,48,63.5,88,Card Game (Green),1,,,,,,
Al Cabohne,120,56,87,Standard USA (Purple),2,,,,,,
Aladdin's Dragons,66,58,92,Euro Size Card Sleeves,1,,,,,,
Alarm!,110,56,87,Standard USA (Purple),2,,,,,,
Alba Longa,65,56,87,Standard USA (Purple),1,,,,,,
Albion's Legacy Core,131,41,63,Mini USA (Yellow),2,,,,,,
Albion's Legacy Deluxe,355,41,63,Mini USA (Yellow),4,,,,,,
Alcatraz: The Scapegoat,55,57.5,89,Chimera (Orange),1,,,,,,
Alcazar,92,45,68,Mini Euro Sleeves,1,,,,,,
Alchemicus (2009),140,56,87,Standard USA (Purple),2,,,,,,
Alchemists,96,45,68,Mini Euro Sleeves,1,,,,,,
Alexandros,55,45,68,Mini Euro Sleeves,1,,,,,,
Alhambra,110,59,92,Euro Size Card Sleeves,2,,,,,,
Alhambra: Big Box,220,59,92,Euro Size Card Sleeves,3,,,,,,
Alhambra: Power of the Sultan,,58.5,89,Euro Size Card Sleeves,0,,,,,,
Alhambra: The City Gates,24,58.5,89,Euro Size Card Sleeves,1,,,,,,
